,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
1,1,1,AAGSmibskcQIvRJkL15kcFfZ,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAFALvCxkcHPLh1HSG5JfBLX,korean,석사과정,2020,1R,19890414,2020,1R,3.81,4,40,43,타교,,32650000,1360417
9,9,12,AAGSZ6K74G2LwHTWD57X9r4U,공과대학,공학,2,정원외-계약학과,졸업,스마트융합학과,스마트융합전공,AAHCDViqJJEmqBBosbURMvpo,korean,석사과정,2020,1R,19960224,2020,1R,4.38,4,52.4,35.6,자교,,15876000,661500
19,19,26,AAGHcNRp9qYe45MseOG0iGkT,공과대학,공학,1,학연산협동과정,졸업,산업경영공학과,산업경영공학전공,AAG3lR75Qdq4S6hdfCFvhzEN,korean,석사과정,2020,1R,19850124,2020,1R,4.22,4,40,38,타교,,,0
21,21,29,AAEc5wLq7U8GiFAHj8zZlJnb,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,제어·로봇·시스템,AAFyitzZ9EL1iIdqOl+j5zOd,korean,석사과정,2020,1R,19911128,2020,1R,4.5,4,49.6,49.8,자교,,,0
22,22,30,AAGT5TNt9UZq0yHDmG6kfiD6,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAEClPAQjORZKayEf40sZEcD,korean,석사과정,2020,1R,19910411,2020,1R,4.25,4,47.7,45.2,타교,,,0
26,26,34,AAG5iEjPnv59pDZECcWJQeYE,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAFtNGSLAiOzKhtl6fTSFWNQ,korean,석사과정,2020,1R,19931020,2020,1R,4.39,4,45.6,42.5,자교,,2400000,100000
28,28,36,AAFlGQO1STBp8XUzaSmZflc0,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,신호 및 멀티미디어전공,AAG0SPmPhzsUQPZ46a9++2no,korean,석사과정,2020,1R,19940504,2020,1R,4.25,4,46.1,48.2,타교,,13920000,580000
35,35,47,AAF+N2uIbd15TcZ0MVR7NnI3,공과대학,공학,1,학연산협동과정,졸업,산업경영공학과,산업경영공학전공,AAG3lR75Qdq4S6hdfCFvhzEN,korean,석사과정,2020,1R,19790717,2020,1R,4.28,4,39,42,타교,,,0
44,44,59,AAF5lqCla3qOoHrnWzLjj6Qr,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAG/k5m8JyuxBPC7I/vkq0VW,korean,석사과정,2020,1R,19930212,2020,1R,4.44,4,46,46.5,자교,,42304000,1762667
62,62,89,AAHuqt6nc5Vd6up3N5fgdrIC,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,제어·로봇·시스템,AAGVaVDMnAJbsoy6IqhpItUd,korean,석사과정,2020,1R,19890630,2020,1R,4.25,4,49.6,49.2,자교,,36241000,1510042
63,63,91,AAFSCmO2k8YsMxhWeVnofkUw,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,신호 및 멀티미디어전공,AAGioczb0MZcdiThVufZfhjq,korean,석사과정,2020,1R,19950208,2020,1R,3.96,4,47.9,49.7,자교,,33194185,1383091
64,64,92,AAGru99RFC0uf5Eddy+WfvIf,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAH+0xHd9SnDMZtBH0JmIPUG,korean,석사과정,2020,1R,19911023,2020,1R,4,4,44.2,48.9,타교,,14666740,611114
