,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
0,0,2,AAE+Qwk5NTdsJ+S0+tuq36Wm,법과대학,인문·사회,1,정원내신입학,졸업,법학과,상법전공,AAEtbrM8IuGtJu3wy0M3smco,korean,박사과정,2018,2R,19770211,2020,1R,4.46,7,40,55.7,자교,타교,,0
1,1,5,AAH4CETLfdR7Q58K72wEcJO4,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAFAbhVgDcRTPKjlPahhiYS1,korean,박사과정,2018,2R,19860206,2020,1R,4.13,7,48,48.5,타교,자교,153224159,3648194
2,2,9,AAE0z2qPAyOkZ3FAezQ1OeBj,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAFAbhVgDcRTPKjlPahhiYS1,korean,박사과정,2018,2R,19870102,2020,1R,4.08,7,49,49,타교,자교,155337189,3698505
3,3,14,AAHjbFsCLbzyn2kPbtIY5ayH,문과대학,인문·사회,2,정원내신입학,졸업,국어국문학과,고전문학전공,AAGLaeSTsCw4zS02lNT3dm4I,korean,박사과정,2019,2R,19900430,2020,1R,4.5,5,45,45,자교,자교,24300000,810000
4,4,19,AAHRXvrS9ZZxYfvA0UGlH2Lp,간호대학,자연과학,2,외국인,졸업,간호학과,간호과학,AAGeArwRMuFHjXUEumo9Os1g,foreigner,박사과정,2018,2R,19850104,2020,1R,4.21,7,91,,타교,타교,18700000,445238
5,5,23,AAG/JDnnyDm8+SfJhUZzqMin,법과대학,인문·사회,2,정원내신입학,졸업,법학과,상법전공,AAGy0qCzwwAtJbn7rcwu3s9c,korean,박사과정,2017,2R,19870416,2020,1R,4.42,10,36.8,50,타교,타교,,0
6,6,25,AAFujE5rDJlWhhXUD5ctvNtn,사범대학,인문·사회,2,정원내신입학,졸업,교육학과,교육행정학 및 고등교육학전공,AAHDEhgNlUGqXVlgmNwLK1c8,korean,박사과정,2017,2R,19830207,2020,1R,4.42,10,49.5,48.67,타교,자교,17650000,294167
7,7,37,AAFCW7g90p7VlsyB92Tx2nVN,이과대학,자연과학,1,정원내신입학,졸업,수학과,응용수학전공,AAFQaa6ATzSiMMbBHlDfstSi,korean,박사과정,2017,1R,19900822,2020,1R,4.38,10,45,50,자교,자교,18400000,306667
8,8,38,AAFEHNyVRYAeLNX+VR4XUyU2,경영대학,인문·사회,1,정원내신입학,졸업,경영학과,회계학전공,AAGHciQ0bQ5hjxyOwpjn35Sp,korean,박사과정,2018,1R,19810719,2020,1R,4.29,8,36.6,58,자교,타교,58000000,1208333
9,9,39,AAEC0fWenCMbrBJt8ZvIPuPL,문과대학,인문·사회,1,정원내신입학,졸업,과학기술학협동과정,과학관리학전공,AAG1VQGu4I3oZWQISfpgx/bU,korean,박사과정,2017,2R,19741209,2020,1R,4.46,9,49,49,자교,자교,,0
10,10,44,AAE47y9PxSbDHxs7B2eSEI2M,간호대학,자연과학,2,정원내신입학,졸업,간호학과,간호과학,AAGeArwRMuFHjXUEumo9Os1g,korean,박사과정,2018,2R,19850218,2020,1R,4.38,7,57.67,39.33,타교,자교,29100000,692857
11,11,50,AAEzc0UyRhorGaHi6uTIUYlk,사범대학,인문·사회,1,정원내신입학,졸업,교육학과,교육행정학 및 고등교육학전공,AAEV5k8RJCCFDu5lVFsH/34q,korean,박사과정,2018,2R,19830912,2020,1R,4.38,7,41.54,45.33,타교,타교,,0
12,12,53,AAFy9Ip0jtH7Pt9lrEgL66kF,사범대학,인문·사회,2,정원내신입학,졸업,교육학과,교육과정학,AAG/q/7EFVvdlEHZn04XE8Vy,korean,박사과정,2018,2R,19800824,2020,1R,4.25,7,50,39.33,타교,자교,20133900,479379
13,13,57,AAG64IDSpHOa4vGocTq0wUjg,사범대학,인문·사회,2,정원내신입학,졸업,교육학과,교육행정학 및 고등교육학전공,AAEV5k8RJCCFDu5lVFsH/34q,korean,박사과정,2018,2R,19890107,2020,1R,4.5,7,46.22,44.33,타교,자교,,0
14,14,64,AAGm2/rpKTDV/ItfeYTjNunN,사범대학,인문·사회,2,외국인,졸업,교육학과,상담,AAEu64tmWkcTxGKM2cMCG/p4,foreigner,박사과정,2017,1R,19840203,2020,1R,4.11,10,97,,타교,,2817456,46958
15,15,69,AAGezSsq3g2LGN+yd5uxXYKP,경영대학,인문·사회,1,정원내신입학,졸업,경영학과,재무론전공,AAFdlzTzY6uPi+BluICXEa2f,korean,박사과정,2017,1R,19860517,2020,1R,3.71,10,35.43,58,타교,자교,66400000,1106667
16,16,72,AAF7oCMFuTSHiRfCbfqMfISE,의과대학,의학,1,정원내신입학,졸업,의학과,성형외과학전공,AAF6mEYXmJzcGvkAq1lg3PfD,korean,박사과정,2018,2R,19841030,2020,1R,4.27,7,41,45.33,자교,자교,,0
17,17,73,AAGGfSnlC2bMuJARsPv4E/YZ,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAGCqxpkl1TslVbWwzL7IA5K,korean,박사과정,2018,1R,19681009,2020,1R,4,9,50,49.33,자교,자교,,0
18,18,74,AAFzZKlK2jhMapo6YZz0/sK5,의과대학,의학,2,정원내신입학,졸업,의학과,영상의학전공,AAFP+q15X8WEOadEp7YGQRp7,korean,박사과정,2018,2R,19851214,2020,1R,4.17,7,47,47,자교,자교,,0
19,19,76,AAHGWAxp+db4pPyoRxPXRJ1b,공과대학,공학,2,정원내신입학,졸업,건축사회환경공학과,건설시스템 경영 및 관리,AAHpBFe+EZ/b+4BrGFPFBGbo,korean,박사과정,2018,1R,19710128,2020,1R,4.46,9,48,46.33,타교,자교,,0
20,20,77,AAELOHz3VGacQwkS8tsBtOXa,사범대학,인문·사회,2,정원내신입학,졸업,교육학과,상담,AAEu64tmWkcTxGKM2cMCG/p4,korean,박사과정,2018,1R,19851119,2020,1R,4.25,8,45.67,46.33,자교,자교,14300000,297917
21,21,78,AAGz6OI+c87AUADqvPKJzD1+,의과대학,의학,1,외국인,졸업,의학과,치과학전공,AAFv3KlN8abBOBJzVDS16gDV,foreigner,박사과정,2018,2R,19880205,2020,1R,4.04,7,80,,타교,자교,11810000,281190
22,22,80,AAFTJABKah65siKOjHI+uoup,의과대학,의학,1,정원내신입학,졸업,의학과,응급의학전공,AAFoN7/qW5c3YKugHqsAHMIU,korean,박사과정,2018,2R,19781107,2020,1R,4.03,7,42,45.33,타교,타교,,0
23,23,87,AAFZ/Tu2wzMKv2btPjzsp6PS,법과대학,인문·사회,1,정원내신입학,졸업,법학과,국제법전공,AAEiJmR7bEMeNFQCFS9vydH7,korean,박사과정,2018,2R,19810403,2020,1R,4.5,7,35.3,55.4,자교,자교,14398673,342826
24,24,88,AAEzFevS6D9M5M8YJRYBiCRK,경영대학,인문·사회,2,정원내신입학,졸업,경영학과,LSOM전공,AAFQaGWWxmFZs6vz3h4z/3PH,korean,박사과정,2018,1R,19861019,2020,1R,4.46,8,32.5,60,타교,자교,36000000,750000
25,25,90,AAGi9uRajJE+mydA6jyJtiZV,사범대학,인문·사회,2,정원내신입학,졸업,교육학과,상담,AAEu64tmWkcTxGKM2cMCG/p4,korean,박사과정,2019,1R,19780831,2020,1R,4.29,6,45.78,44,자교,자교,22438085,623280
26,26,94,AAEFKObeQkVWima5lTyaOJ28,의과대학,의학,1,정원내신입학,졸업,의학과,영상의학전공,AAGsTopswBi01jPoOLi1ASCv,korean,박사과정,2018,2R,19810809,2020,1R,4.13,7,46.7,47.7,자교,자교,,0
27,27,131,AAGisfB7z/fEb00Pyf7+0G8f,정경대학,인문·사회,1,군위탁생,졸업,통계학과,응용통계학전공,AAH1vSUCFHG7MKWk0LHPJHIH,korean,박사과정,2018,1R,19820906,2020,1R,4.29,8,40,45,타교,타교,8956556,186595
28,28,135,AAHF+u+2xFB5rtpAaMaS11VO,생명과학대학,자연과학,1,정원내신입학,졸업,생명공학과,의약나노바이오시스템전공,AAEfQTeTb13/AwotMAEmIrhR,korean,박사과정,2018,1R,19841113,2020,1R,4.09,8,42,49.56,타교,타교,,0
29,29,138,AAEVPvv3IFoOmA7vOdNuySc7,경영대학,인문·사회,1,외국인,졸업,경영학과,LSOM전공,AAFlfbrpThj0SZM7StuUZffR,foreigner,박사과정,2019,1R,19900112,2020,1R,4.25,6,95,,타교,타교,,0
30,30,140,AAHQS7mUAhRW2hmxT70lwf2O,문과대학,인문·사회,1,정원내신입학,졸업,사회학과,사회학전공,AAG7iaEgtLlabiM+lsGQ2mSQ,korean,박사과정,2019,1R,19790128,2020,1R,4.29,6,49,48,타교,자교,,0
31,31,142,AAEmBGImTwn3bX6KzDkfKyUb,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAG9vgWMRYHtNalVfeopzK5v,korean,박사과정,2018,1R,19850402,2020,1R,4.46,8,48,48,타교,자교,148923020,3102563
32,32,146,AAG2lBZ2qcnEbp7vVY72T6CU,이과대학,자연과학,1,정원내신입학,졸업,화학과,무기화학전공,AAE+a+SdedxyF5aEz0quFqGA,korean,박사과정,2018,1R,19790427,2020,1R,4.08,8,37,46.5,자교,자교,67950000,1415625
33,33,147,AAFpZoCsaMZCEIc57guq7hfd,이과대학,자연과학,2,편입학박사(3학기),졸업,화학과,고분자화학전공,AAFXijirLbUuH9BgHv7mX6Kt,korean,박사과정,2017,2R,19891209,2020,1R,3.96,10,42,47,타교,타교,71700000,1195000
34,34,149,AAGlQWdmqcMYzqnmig6nJcT+,간호대학,자연과학,2,정원내신입학,졸업,간호학과,간호과학,AAGc0cnC3EtLobr2RoPQoYkV,korean,박사과정,2018,2R,19750310,2020,1R,4.33,8,58,36,타교,타교,,0
35,35,150,AAECvGBeBgxMoJlzeuSgqxA7,이과대학,자연과학,1,정원내신입학,졸업,지구환경과학과,지질환경학전공,AAHdHyAEAxnD+PZne3uoVZxa,korean,박사과정,2018,1R,19860712,2020,1R,4.13,8,68.64,18.67,자교,자교,118440000,2467500
36,36,152,AAGcr/ZHNtxqZedvmonFDvR9,생명과학대학,자연과학,2,정원내신입학,졸업,생명공학과,시스템식품생명공학전공,AAEs+LK4zLcb59/lMVm5glD1,korean,박사과정,2018,1R,19861104,2020,1R,4.24,8,48,49.87,타교,타교,83745250,1744693
37,37,160,AAEW/z4BKgHzc9NorQr4fs8G,생명과학대학,자연과학,2,정원내신입학,졸업,생명공학과,의약나노바이오시스템전공,AAEfQTeTb13/AwotMAEmIrhR,korean,박사과정,2017,1R,19861009,2020,1R,3.96,10,47,45.5,타교,타교,,0
38,38,164,AAFWVbW5Ym5SatG67OQqASOW,간호대학,자연과학,2,정원내신입학,졸업,간호학과,간호과학,AAEXVSScXR5V3wxOj2zYhXE/,korean,박사과정,2017,2R,19860812,2020,1R,4.38,10,57.67,39.33,자교,자교,17000000,283333
39,39,166,AAEhMH/4eS1Cym6soLrCIB8Y,의과대학,의학,1,정원내신입학,졸업,의학과,내과학전공,AAGIYEOgHO/MKjBfqNqkrhP5,korean,박사과정,2018,1R,19830901,2020,1R,3.83,8,47,44.67,자교,자교,,0
40,40,170,AAEd5+72rzo6tFdT1i+oxhbC,의과대학,자연과학,2,정원내신입학,졸업,보건학협동과정,보건정책및병원관리전공,AAHqHevfy0EAKXVwGApq3ljU,korean,박사과정,2018,1R,19721205,2020,1R,4.38,8,39,34.33,타교,타교,,0
41,41,175,AAEqBe3jSAGWN1T2vU6msoek,생명과학대학,자연과학,1,외국인,졸업,환경생태공학과,환경계획및조경학전공,AAGIv80OQ/hZbpSix5nrdVb2,foreigner,박사과정,2018,2R,19810714,2020,1R,4.31,7,94,,타교,타교,36300000,864286
42,42,176,AAFQLJ2rADyIIf/XEsq+GjuT,의과대학,자연과학,2,정원내신입학,졸업,보건학협동과정,보건정책및병원관리전공,AAHqHevfy0EAKXVwGApq3ljU,korean,박사과정,2018,1R,19840902,2020,1R,4.38,8,46,47,타교,타교,,0
43,43,179,AAExGh7u7WQVjCecrLC0q0uO,의과대학,의학,1,정원내신입학,졸업,의학과,내과학전공,AAFm2XghZmOXXIYkYEHGnhnY,korean,박사과정,2018,1R,19840522,2020,1R,4.15,8,44,45,자교,자교,,0
44,44,199,AAFJBUZoRSgEJFoOjm8EJABZ,미디어학부,인문·사회,1,외국인,졸업,언론학과,언론학전공,AAETN7E7dpDQLAGdsYzdlqHQ,foreigner,박사과정,2018,2R,19821201,2020,1R,4.38,7,74.7,,타교,,,0
45,45,201,AAHM669ImlBb9hW1E1J92ILx,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAF1qK1VjAd7Et0WDMAYCWmi,korean,박사과정,2018,1R,19870514,2020,1R,4.21,8,57,39,타교,자교,,0
46,46,202,AAGN+io3E/sbA2l3c1zHWevM,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAGTszpzFC5e3mUi28BQAvQQ,korean,박사과정,2018,1R,19860512,2020,1R,3.88,8,58,40,타교,자교,126600000,2637500
47,47,204,AAGGH/lmugoHNBEppJ+mm7Bi,공과대학,공학,2,정원내신입학,졸업,미세소자공학협동과정,반도체소자전공,AAGVaVDMnAJbsoy6IqhpItUd,korean,박사과정,2018,1R,19910225,2020,1R,4.33,8,49,48,타교,자교,128100000,2668750
48,48,216,AAH+2uaG+rPGaI6OB7LEk9ae,문과대학,인문·사회,1,정원내신입학,졸업,과학기술학협동과정,과학관리학전공,AAFmghpMMALGcGkvPkDednPJ,korean,박사과정,2018,1R,19741208,2020,1R,4.17,8,45,45,타교,타교,,0
49,49,220,AAErGRgOtu9Ptz2L/Lw6inS+,미디어학부,인문·사회,2,정원내신입학,졸업,언론학과,언론학전공,AAHf/2Ed9AowQWztpeK/cBCk,korean,박사과정,2018,2R,19720717,2020,1R,4.5,8,39,44,타교,자교,,0
50,50,222,AAGU7GcMua3J5q+yvqWZ9b+6,생명과학대학,자연과학,2,정원내신입학,졸업,환경생태공학과,생태학및환경생물학전공,AAGsK/9hQ+mV6UGMkyQ134NO,korean,박사과정,2018,1R,19900324,2020,1R,4.38,8,46.33,47.33,자교,자교,128349868,2673956
51,51,227,AAEkzogpxJ4QLZEgzET00EOv,의과대학,의학,1,정원내신입학,졸업,의학과,정형외과학전공,AAEMr7pBQKSpSRLIBENRldyS,korean,박사과정,2017,2R,19811103,2020,1R,4.08,10,45.01,45.67,자교,자교,,0
52,52,228,AAHPZCFd43qF9ZbZJnSAa5fD,정보대학,공학,1,정원내신입학,졸업,컴퓨터·전파통신공학과,컴퓨터학전공,AAGTpbn2hlhEnXEkEGBrHBWk,korean,박사과정,2018,1R,19891108,2020,1R,4.09,8,48,48,자교,자교,125370000,2611875
53,53,254,AAF0byzS7TrMVdUNgirxohRV,사범대학,인문·사회,2,외국인,졸업,영어교육학과,영어교육학전공,AAHZ1/+YlSFa4MiNN0kd+7+w,foreigner,박사과정,2018,2R,19860825,2020,1R,4.29,7,88.5,,타교,타교,,0
54,54,260,AAG7zrDLv0XRBKoSFzsHhkQB,문과대학,인문·사회,1,군위탁생,졸업,중일어문학과,일본문학·문화전공,AAGpyzWvfjqDOtVJNzZzEjC5,korean,박사과정,2018,1R,19860823,2020,1R,4.5,8,50,50,타교,자교,,0
55,55,265,AAFIOoat6wgOjuS8guH4MT9t,간호대학,자연과학,2,정원내신입학,졸업,간호학과,간호과학,AAE8UXP/pgNTZf3xH+YR2Wrp,korean,박사과정,2019,1R,19880408,2020,1R,4.38,6,58,40,자교,자교,7050000,195833
56,56,268,AAG+DaM5dgo36597bPTEu2Y4,문과대학,인문·사회,2,정원내신입학,졸업,국어국문학과,고전문학전공,AAGLaeSTsCw4zS02lNT3dm4I,korean,박사과정,2017,2R,19870720,2020,1R,4.42,9,45,44,타교,타교,44634200,826559
57,57,272,AAGLMoV+CGy0b6fNt9GLrRNY,의과대학,자연과학,2,정원내신입학,졸업,보건학협동과정,보건정책및병원관리전공,AAHqHevfy0EAKXVwGApq3ljU,korean,박사과정,2017,1R,19850105,2020,1R,4.04,10,38,38,타교,자교,,0
58,58,275,AAGtZH3zKdAtciswndl9pWDW,공과대학,공학,1,정원내신입학,졸업,바이오마이크로시스템기술협동과정,의공학전공,AAEpHiaFK56xDZ2xZgm7yKh4,korean,박사과정,2017,1R,19870904,2020,1R,3.88,10,57,38.33,타교,자교,114915000,1915250
59,59,283,AAHTF0BDVtoOOY/xvLc6cMdH,의과대학,의학,1,정원내신입학,졸업,의학과,정형외과학전공,AAGYHUf4KTkPLTf8bnBMSt/7,korean,박사과정,2019,1R,19830905,2020,1R,4.04,6,46,44.67,자교,자교,,0
60,60,285,AAFYhPRmDhAYOcvMdoM6QHB4,의과대학,의학,1,정원내신입학,졸업,의학과,정형외과학전공,AAHlIFfl4x3Bd7fh3igHCmn/,korean,박사과정,2019,1R,19820717,2020,1R,4.13,6,45,46,자교,자교,,0
61,61,294,AAGcPO9InkOeTygdWuSYYC0p,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAFALvCxkcHPLh1HSG5JfBLX,korean,박사과정,2018,1R,19871023,2020,1R,4.42,8,48,46,타교,타교,101300000,2110417
62,62,295,AAEIK+VOpg+BR4f2jw3GKCp/,정보대학,공학,2,외국인,졸업,뇌공학과,뇌공학전공,AAH0O2zWZGja8LwBGM0kgutl,foreigner,박사과정,2018,1R,19861030,2020,1R,4.08,8,95,,타교,,67440000,1405000
